"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)"
8.65,-0.0148773193359,-4.93278503418
8.7,-0.0179290771484,-4.95700836182
8.75,-0.0148773193359,-4.9388885498
8.8,-0.0209808349609,-4.94480133057
8.85,-0.0179290771484,-4.95700836182
8.9,-0.0209808349609,-4.94480133057
8.95,-0.0179290771484,-4.94480133057
9,-0.0148773193359,-4.94194030762
9.05,-0.0268936157227,-4.94194030762
9.1,-0.0179290771484,-4.93583679199
9.15,-0.0148773193359,-4.9388885498
9.2,-0.0179290771484,-4.95700836182
9.25,-0.0179290771484,-4.93583679199
9.3,-0.0209808349609,-4.9388885498
9.35,-0.0148773193359,-4.95700836182
9.4,-0.0148773193359,-4.94194030762
9.45,-0.0209808349609,-4.94194030762
9.5,-0.0148773193359,-4.94194030762
9.55,-0.0148773193359,-4.95090484619
9.6,-0.0148773193359,-4.96292114258
9.65,-0.0148773193359,-4.94785308838
9.7,-0.0209808349609,-4.94480133057
9.75,-0.0148773193359,-4.95986938477
9.8,-0.0118255615234,-4.94785308838
9.85,-0.0209808349609,-4.94785308838
9.9,-0.0148773193359,-4.94480133057
9.95,-0.0148773193359,-4.94480133057
10,-0.0148773193359,-4.94785308838
10.05,-0.0118255615234,-4.95700836182
10.1,-0.0148773193359,-4.95700836182
10.15,-0.0118255615234,-4.94480133057
10.2,-0.0179290771484,-4.94480133057
10.25,-0.0148773193359,-4.95090484619
10.3,-0.0118255615234,-4.9388885498
10.35,-0.0209808349609,-4.9388885498
10.4,-0.0148773193359,-4.9388885498
10.45,-0.0268936157227,-4.94194030762
10.5,-0.0148773193359,-4.94194030762
10.55,-0.00896453857422,-4.94480133057
10.6,-0.0118255615234,-4.95090484619
10.65,-0.0148773193359,-4.95700836182
10.7,-0.0148773193359,-4.96292114258
10.75,-0.0148773193359,-4.94480133057
10.8,-0.0148773193359,-4.95090484619
10.85,-0.0148773193359,-4.953956604
10.9,-0.0179290771484,-4.94194030762
10.95,-0.0148773193359,-4.94194030762
11,-0.0179290771484,-4.94480133057
11.05,-0.0179290771484,-4.9388885498
11.1,-0.0209808349609,-4.94194030762
11.15,-0.0148773193359,-4.94194030762
11.2,-0.0148773193359,-4.95090484619
11.25,-0.0148773193359,-4.94785308838
11.3,-0.0209808349609,-4.94194030762
11.35,-0.0179290771484,-4.94194030762
11.4,-0.0148773193359,-4.94194030762
11.45,-0.0118255615234,-4.953956604
11.5,-0.0179290771484,-4.94480133057
11.55,-0.0148773193359,-4.9388885498
11.6,-0.0148773193359,-4.94194030762
11.65,-0.0148773193359,-4.95700836182
11.7,-0.0148773193359,-4.94480133057
11.75,-0.0148773193359,-4.9388885498
11.8,-0.0179290771484,-4.94480133057
11.85,-0.0118255615234,-4.9388885498
11.9,-0.0148773193359,-4.94480133057
11.95,-0.0148773193359,-4.9388885498
12,-0.0179290771484,-4.94480133057
12.05,-0.0118255615234,-4.9388885498
12.1,-0.0148773193359,-4.95090484619
12.15,-0.0148773193359,-4.94194030762
12.2,-0.0179290771484,-4.94194030762
12.25,-0.0209808349609,-4.9388885498
12.3,-0.0118255615234,-4.94194030762
12.35,-0.0118255615234,-4.94480133057
12.4,-0.0148773193359,-4.94480133057
12.45,-0.0148773193359,-4.9388885498
12.5,-0.0209808349609,-4.94480133057
12.55,-0.0118255615234,-4.94194030762
